SwallowID,is_video_available,hosting_platform
8513,0,Zoom
8515,0,Zoom
8516,0,Zoom
8517,0,Zoom
8518,0,Zoom
8519,0,Zoom
8520,0,Zoom
8521,0,Zoom
8522,0,Zoom
8523,0,Zoom
8524,0,Zoom
8525,0,Zoom
8526,0,Zoom
8527,0,Zoom
8528,0,Zoom
8529,0,Zoom
8530,0,Zoom
8531,0,Zoom
8532,0,Zoom
8533,0,Zoom
8534,0,Zoom
8535,0,Zoom
8536,0,Zoom
8537,0,Zoom
8538,0,Zoom
8539,0,Zoom
8540,0,Zoom
8541,0,Zoom
8542,0,Zoom
8543,0,Zoom
8544,0,Zoom
8545,0,Zoom
8550,0,Zoom
8551,0,Zoom
8552,0,Zoom
8553,0,Facebook; YouTube
8554,0,Zoom
8555,0,Zoom
8556,0,Zoom
8557,0,Zoom
8560,0,Zoom
8561,0,Zoom
8562,0,Zoom
8563,0,
8565,0,Zoom
8566,0,Zoom
8567,0,Zoom
8568,0,Zoom
8569,0,Zoom
8570,0,Zoom
8571,0,Crowdcast
8572,0,Crowdcast
8573,0,Crowdcast
8574,0,Crowdcast
8575,0,Crowdcast
8576,0,Crowdcast
8577,0,Crowdcast
8578,0,Crowdcast
8579,0,Crowdcast; YouTube
8580,0,Crowdcast; YouTube
8581,0,Zoom
8582,0,Zoom
8583,0,Zoom
8584,0,Zoom
8585,0,Zoom
8586,0,Zoom
8587,0,Zoom
8588,0,Instagram
8589,0,Zoom
8590,0,Zoom
8591,0,Crowdcast; YouTube
8592,0,Zoom
8593,0,Instagram
8594,0,Crowdcast; YouTube
8595,0,Zoom
8596,0,Zoom
8597,0,
8598,0,Crowdcast; YouTube
8599,0,Crowdcast; YouTube
8600,0,Instagram
8601,0,Crowdcast; YouTube
8602,0,YouTube
8603,0,Zoom
8604,0,Crowdcast; YouTube
8605,0,Crowdcast; YouTube
8606,0,Zoom
8607,0,Zoom
8608,0,Zoom
8609,0,Zoom
8610,0,Instagram
8611,0,Zoom
8612,0,YouTube
8613,0,Instagram
8614,0,
8615,0,
8616,0,
8619,0,
8620,0,
8621,0,
8622,0,
8623,0,
8624,0,
8625,0,
8626,0,
8627,0,
8628,0,Zoom
8629,0,
8630,0,Zoom
8631,0,
8632,0,
8640,0,
8641,0,
8642,0,
8643,0,
8644,0,
8645,0,
8646,0,
8647,0,
8648,0,
8649,0,
8650,0,
8651,0,
8652,0,
8653,0,
8654,0,
8655,0,
8656,0,
8662,0,
8663,0,
8664,0,
8665,0,
8666,0,
8667,0,
8668,0,
8669,0,
8670,0,
8671,0,
8672,0,
8673,0,
8674,0,
8675,0,
8676,0,
8677,0,
8678,0,
8679,0,
8680,0,
8681,0,
8696,0,
8697,0,
8698,0,
8699,0,
8700,0,
8701,0,
8710,0,
8711,0,
8713,0,
8714,0,
8715,0,
8716,0,
8719,0,Zoom
8720,0,
8721,0,
8722,0,
8723,0,
8724,0,
8725,0,Zoom
8726,0,
8727,0,Zoom
8728,0,Zoom
8729,0,
8730,0,Zoom
8731,0,Zoom
8732,1,Facebook; YouTube
8733,0,
8734,0,
8735,0,
8736,0,
8737,0,
8738,0,
8739,0,
8740,0,
8741,0,
8743,0,
8744,0,
8745,0,
8746,0,
8747,0,
8748,0,
8749,0,
8750,0,
8751,0,
8752,0,
8753,0,
8754,0,
8755,0,
8756,0,
8757,0,
8758,0,
8759,0,
8760,0,Instagram
8761,0,
8763,0,
8764,0,
8765,0,
8766,0,
8767,0,
8772,0,
8773,0,
8774,0,
8775,0,
8776,0,
8777,0,
8778,0,
8779,0,
8780,0,
8781,1,
8782,0,
8783,0,
8784,0,
8785,0,
8786,0,
8793,0,
8794,0,
8795,0,
8796,0,
8797,0,
8798,0,
8799,0,
8800,0,
8801,0,
8802,0,
8803,0,
8804,0,
8805,0,
8806,0,
8807,0,
8808,0,
8809,0,
8829,0,Zoom
8830,0,Zoom
8833,0,Facebook Live; Zoom
8834,1,
8835,0,
8837,1,
8838,0,
8839,0,
8840,0,
8841,0,
8842,0,
8843,0,
8844,0,
8845,0,
8846,0,
8847,0,Instagram
8850,1,
8851,1,
8852,0,
8853,1,
8854,0,
8857,0,
8858,0,
8859,0,Facebook Live
8860,0,
8861,0,
8862,0,
8863,0,
8864,0,Zoom
8865,0,Zoom
8866,0,Zoom
8867,0,Zoom
8868,1,Zoom
8869,0,
8870,0,Zoom
8871,1,
8872,0,
8873,0,
8874,0,
8875,0,
8877,0,
8878,0,
8879,0,
8880,0,
8882,1,
8883,0,
8884,0,
8885,0,
8886,0,
8887,0,
8888,0,
8889,0,
8891,1,
8892,0,
8893,0,
8894,0,
8896,0,
8897,0,
8898,0,
8899,0,
8900,0,
8901,0,
8902,0,
8903,0,
8904,0,
8905,0,
8906,0,
8907,0,
8908,0,
8909,0,
8911,0,YouTube
8912,0,
8913,0,
8914,0,
8915,0,
8916,0,
8917,1,
8918,1,
8919,0,
8921,0,
8923,1,
8925,0,
8926,0,
8927,0,
8928,0,
8929,0,
8930,0,
8931,0,
8932,0,
8933,0,
8934,0,
8935,0,
8936,0,
8937,0,
8938,0,
8939,0,
8940,0,
8941,0,
8942,0,
8943,0,
8944,0,
8945,0,
8946,0,
8947,0,
8948,0,
8949,0,
8950,0,
8951,1,
8952,1,
8953,1,
8954,0,
8955,0,
8956,0,
8957,0,
8958,0,
8959,0,
8960,0,
8961,0,
8962,1,Facebook Live
8963,0,
8964,0,
8965,0,
8966,0,
8967,0,
8968,0,
8969,0,
8970,0,
8971,0,
8972,0,
8973,1,
8974,1,
8976,0,
8977,0,
8978,0,
8979,0,
8980,0,
8981,0,
8982,0,
8983,0,
8984,0,
8985,0,
8986,0,
8987,0,
8988,1,Crowdcast
8989,0,YouTube
8990,0,
8991,0,
8992,0,
8994,1,
8995,1,
8996,1,
8997,1,
9000,1,YouTube
9003,0,
9004,0,YouTube
9005,0,Facebook; YouTube
9006,0,YouTube
9007,0,Zoom
9008,0,Zoom
9009,0,Facebook Live; Zoom
9010,0,Zoom
9011,0,
9012,0,
9013,0,Zoom
9014,0,
9015,0,Zoom
9016,0,
9017,0,
9018,0,
9019,0,Facebook Live
9020,0,
9021,0,Zoom
9022,0,Zoom
9023,0,YouTube; Zoom
9024,0,
9026,0,Crowdcast
9027,0,
9028,0,
9029,0,
9030,0,
9031,0,Zoom
9032,0,Zoom
9033,0,YouTube
9034,0,YouTube; Zoom
9035,0,Zoom
9036,0,Zoom
9037,0,Zoom
9039,0,Zoom
9040,0,YouTube
9041,0,Zoom
9042,0,Zoom
9044,0,Zoom
9045,0,
9046,0,
9047,0,
9048,0,Zoom
9049,0,
9050,0,
9051,0,
9052,0,
9053,0,
9054,0,Zoom
9055,0,Crowdcast
9056,0,
9057,0,Zoom
9058,0,Twitch
9059,0,Zoom
9060,0,Zoom
9062,0,Zoom
9063,0,Zoom
9065,0,Zoom
9066,0,Zoom
9067,0,YouTube
9068,0,Zoom
9069,0,Zoom
9070,0,Zoom
9071,0,
9073,0,Zoom
9074,0,Zoom
9075,0,Zoom
9076,0,Zoom
9078,0,Facebook
9079,0,Zoom
9080,0,Zoom
9081,0,YouTube
9083,0,
9084,0,Zoom
9085,0,Zoom
9086,0,Zoom
9087,0,Zoom
9088,0,Zoom
9089,0,Zoom
9090,0,Zoom
9091,0,Zoom
9092,0,Zoom
9094,0,Zoom
9095,0,Zoom
9096,0,Instagram
9097,1,Facebook Live
9098,1,Facebook Live
9099,0,
9100,1,Facebook
9101,0,Zoom
9102,0,Zoom
9103,0,Zoom
9104,0,Zoom
9105,0,Zoom
9106,0,
9108,0,Zoom
9109,0,Zoom
9110,0,Zoom
9111,0,Zoom
9112,0,Zoom
9113,0,Zoom
9114,0,Zoom
9115,0,Zoom
9117,0,Zoom
9118,0,Zoom
9119,0,Zoom
9120,0,Zoom
9121,0,Zoom
9122,0,Zoom
9124,0,Zoom
9125,0,Zoom
9126,0,
9127,0,Zoom
9129,0,Zoom
9132,0,Facebook Live
9133,0,Twitter
9134,0,Facebook Live
9135,0,Instagram
9136,0,Zoom
9138,0,Zoom
9139,0,Zoom
9140,0,Zoom
9141,0,Zoom
9142,0,Zoom
9143,1,
9144,1,Zoom
9145,0,
9146,1,Zoom
9148,0,
9150,0,Zoom
9151,0,Zoom
9152,0,Zoom
9153,0,Zoom
9154,0,Zoom
9155,0,Zoom
9156,0,Zoom
9157,0,Zoom
9158,0,Zoom
9159,0,Zoom
9160,1,Zoom
9161,0,Zoom
9162,0,Zoom
9163,1,Zoom
9242,0,Zoom
9243,0,Zoom
