SwallowID,Location
10010,"{""id"": ""62782b4f3c0ba9.77088657"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10012,"{""id"": ""62782ede5718f3.86404863"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10013,"{""id"": ""627830aa67e4c5.35303204"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10014,"{""id"": ""627832b90610a1.14699454"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10015,"{""id"": ""62783640de8b72.06471977"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10016,"{""id"": ""62783a05334880.84919190"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10017,"{""id"": ""62783c074bb4a6.31919951"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10018,"{""id"": ""62ae427bee6dc7.44155233"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10035,"{""id"": ""627a974e1831e8.31049950"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10107,"{""id"": ""62893004bce3b0.09875979"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": """", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10108,"{""id"": ""628d557ed668a9.13896167"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": """", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10253,"{""id"": ""62ab7020bba9d8.60666387"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": """", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10262,"{""id"": ""62ae45de4e5be4.67748562"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10263,"{""id"": ""62ae4abd485b13.86557828"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10264,"{""id"": ""62be122ae415b7.53063493"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10269,"{""id"": ""62b10b862d3e58.42380328"", ""url"": """", ""notes"": ""\""Online platform\"": \""Instagram Live\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10270,"{""id"": ""62b10c61f40038.79714288"", ""url"": """", ""notes"": ""\""Online Platform\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10271,"{""id"": ""62b10d9f363600.78469577"", ""url"": """", ""notes"": ""\""Online Platform\"": \n\n"", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10272,"{""id"": ""62b10e7ade1970.22304102"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Facebook Live\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10278,"{""id"": ""62b4ab0eeb0945.99311646"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom"", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10279,"{""id"": ""62b4acc5407776.65256526"", ""url"": """", ""notes"": ""\""Online Platform\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10280,"{""id"": ""62b4ada96321c5.60706881"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Discord\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10281,"{""id"": ""62b4b07c0329b9.39729470"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Discord\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10282,"{""id"": ""62b4b1311c19e0.16158362"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Discord\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10283,"{""id"": ""62b4b428daa5c2.27643246"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Discord\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10284,"{""id"": ""62b4b732cdd076.16234168"", ""url"": """", ""notes"": ""\""Online Platform\"": \""YouTube\"": \""Discord\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10285,"{""id"": ""62b4bc054e92e9.46436753"", ""url"": """", ""notes"": ""\""Online Platform\"": \""YouTube\"": \""Discord\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10286,"{""id"": ""62b4bd69020d48.06719629"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Discord\"": \""YouTube\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10288,"{""id"": ""62b5de486145c5.35833855"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10289,"{""id"": ""62b5df6c0f19b7.57837548"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10292,"{""id"": ""62b5e869dd6c20.68769716"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Facebook\"": \""YouTube\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10293,"{""id"": ""62b5ea253916a5.47064617"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Facebook\"": \""YouTube\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10319,"{""id"": ""62bdd6ed6b85b1.87613063"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10320,"{""id"": ""62bdd7dfb3c7e5.82185215"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10339,"{""id"": ""62be183eeff8e8.27996928"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10340,"{""id"": ""62be19ac230f99.92252835"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10341,"{""id"": ""62be1deae57c93.19707875"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10342,"{""id"": ""62be1f38aeb198.88732070"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10343,"{""id"": ""62be2100b409a8.18792311"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10344,"{""id"": ""62c32e12cba948.73086907"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10355,"{""id"": ""62c32fda843327.05961671"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10356,"{""id"": ""62c331edb44784.83529408"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10357,"{""id"": ""62c333ce659fb1.02180874"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10358,"{""id"": ""62c337b072e8c5.75528508"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10360,"{""id"": ""62c33f38b76b59.93651801"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10361,"{""id"": ""62c3413ddb3ac2.98536992"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10362,"{""id"": ""62c34299f2cdf9.77823941"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10363,"{""id"": ""62c34412302df2.15820689"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10389,"{""id"": ""62cc6889ab6771.36759429"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10545,"{""id"": ""62f2b5c3a42842.61514764"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10598,"{""id"": ""62e81eb73a6283.86185253"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Facebook\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10599,"{""id"": ""62e81f60792494.09495247"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Facebook\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10600,"{""id"": ""62e821286c9c55.10462162"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Facebook\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10601,"{""id"": ""62e821cca742f3.46321350"", ""url"": """", ""notes"": ""\""Online platform\"": \""Facebook\"": \""YouTube\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10602,"{""id"": ""62e822f61ada29.09251129"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Youtube\"": \""Facebook\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10603,"{""id"": ""62e8264f602517.94268608"", ""url"": """", ""notes"": ""\""Online Platform\"": "", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10607,"{""id"": ""62e99a4cd221a6.93794682"", ""url"": """", ""notes"": ""\""Online Platform\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10608,"{""id"": ""62e99aec7188b5.43636641"", ""url"": """", ""notes"": ""\""Online Platform\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10609,"{""id"": ""62e99ba7278103.21560302"", ""url"": """", ""notes"": ""\""Online Platform\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10717,"{""id"": ""62f2c0e485ef55.35483394"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10720,"{""id"": ""62f2c43e9ce3b9.32169776"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10721,"{""id"": ""62f2cb385f3cc1.40321039"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10723,"{""id"": ""62f2cee118db01.86246609"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10724,"{""id"": ""62f2d21c687a86.95162187"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10725,"{""id"": ""62f2d5531a5f44.80458367"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10726,"{""id"": ""62f2d9705a8d14.12623209"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10727,"{""id"": ""62f3ec0ff10768.55274670"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10738,"{""id"": ""62f3ee5f6027b8.21775566"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10739,"{""id"": ""62f3f0c5915597.92123645"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10747,"{""id"": ""62f41be0b10287.36666634"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10752,"{""id"": ""62f41ddf0357d9.58440414"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10753,"{""id"": ""62f41f45526f47.83778428"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10754,"{""id"": ""62f420f85b51d8.64973631"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10755,"{""id"": ""62f422ff3cc3a4.45042155"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10756,"{""id"": ""62f4249729f6c5.44426389"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10757,"{""id"": ""62f42933540996.31646387"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10758,"{""id"": ""62f42ed80a87b9.56173048"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10759,"{""id"": ""62f4321d2f15f3.76076947"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10760,"{""id"": ""62f433dc0c3bd6.82709201"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10761,"{""id"": ""62f435a0a87226.90615065"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10762,"{""id"": ""62f4373f219025.86302675"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10763,"{""id"": ""62f5895b8618f7.71861091"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10772,"{""id"": ""62f58aabdc00e7.41430477"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10773,"{""id"": ""62f58d67beb0a6.85183957"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10774,"{""id"": ""62fbd8302b53b9.22573416"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10824,"{""id"": ""62fbee5c58b652.26990884"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10830,"{""id"": ""62fbf33089ece9.76783700"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10832,"{""id"": ""62fbf716aee2f3.98938492"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10834,"{""id"": ""62fc0e7bbc2366.12413765"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10842,"{""id"": ""62fc1161196a36.61901800"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10843,"{""id"": ""62fc1372735b76.14922390"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10844,"{""id"": ""62fc15c06b8233.60874464"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10845,"{""id"": ""62fd2746676757.89466548"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10862,"{""id"": ""62fd298c146715.36783958"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10869,"{""id"": ""62fd600e5675c8.86216760"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10870,"{""id"": ""62fd6412d3a603.54961287"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10871,"{""id"": ""62fd66e38742a3.62528825"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10872,"{""id"": ""62fd69b8585ef7.09830308"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10873,"{""id"": ""62fd6c69cae574.96679550"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10874,"{""id"": ""62fe99a2ef6fc5.59546692"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10875,"{""id"": ""62feabeb4626f5.39878432"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10876,"{""id"": ""62feae1197ba68.15347805"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10877,"{""id"": ""62feb05d62f6f2.05594502"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10878,"{""id"": ""62feb231888d29.16354928"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10879,"{""id"": ""6303cfa371a253.08038357"", ""url"": """", ""notes"": ""\""Online platform\"": \""Youtube\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
