SwallowID,Address_City,LatLon_City,Latitude,Longitude,city_used
11597,Vancouver,West End,49.27702,-123.12490,Vancouver
11598,Vancouver,West End,49.269860,-123.134220,Vancouver
11599,Vancouver,West End,49.27979,-123.12165,Vancouver
11783,Montréal-Ouest,Montreal-Ouest,45.4527,-73.6443,Montréal-Ouest
11784,Montréal-Ouest,Montreal-Ouest,45.4527,-73.6443,Montréal-Ouest
11993,Baddeck,Sydney Mines,46.10350,-60.74562,Baddeck
12030,Baddeck,Sydney Mines,46.10066,-60.74832,Baddeck
12031,Whycocomagh 2,Princeville,45.972042,-61.132343,Whycocomagh 2
12032,Baddeck,Sydney Mines,46.10066,-60.74832,Baddeck
12033,Baddeck,Sydney Mines,46.10350,-60.74562,Baddeck
12034,Baddeck,Sydney Mines,46.10350,-60.74562,Baddeck
12035,Baddeck,Sydney Mines,46.10066,-60.74832,Baddeck
12036,Margaree Forks,Princeville,46.3288,-61.1202,Margaree Forks
12038,Cheticamp,Sydney Mines,46.6307,-61.0051,Cheticamp
12048,Montréal,Deux-Montagnes,45.5089,-73.8954,Montreal
12094,Toronto,Concord,43.77409,-79.49302,Toronto
12235,La Pêche,Wakefield,45.6325955,-75.9315661,La Pêche
12310,La Pêche,Wakefield,45.6325955,-75.9315661,La Pêche
12316,La Pêche,Wakefield,45.6325955,-75.9315661,La Pêche
12317,La Pêche,Wakefield,45.6325955,-75.9315661,La Pêche
12952,Côte-Saint-Luc,Hampstead,45.47760,-73.66458,Côte-Saint-Luc
13175,Montréal,Longueuil,45.54659,-73.54408,Montreal
13585,Montréal,Mont-Royal,45.5356,-73.6284,Montreal
13601,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13602,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13603,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13604,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13605,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13606,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13607,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13608,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13609,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13610,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13611,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13612,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13613,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13614,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13615,Montréal,Saint-Raymond,45.46871,-73.61910,Montreal
13625,Surrey,New Westminster,49.19064,-122.84939,Surrey
13627,Surrey,New Westminster,49.19064,-122.84939,Surrey
13628,Surrey,New Westminster,49.19064,-122.84939,Surrey
13629,Surrey,New Westminster,49.19064,-122.84939,Surrey
13630,Surrey,New Westminster,49.19064,-122.84939,Surrey
13631,Surrey,New Westminster,49.19064,-122.84939,Surrey
13632,Surrey,New Westminster,49.19064,-122.84939,Surrey
13633,Surrey,New Westminster,49.19064,-122.84939,Surrey
13634,Surrey,New Westminster,49.19064,-122.84939,Surrey
13635,Surrey,New Westminster,49.19064,-122.84939,Surrey
13636,Surrey,New Westminster,49.19064,-122.84939,Surrey
13637,Surrey,New Westminster,49.19064,-122.84939,Surrey
13639,Surrey,New Westminster,49.19064,-122.84939,Surrey
13640,Surrey,New Westminster,49.19064,-122.84939,Surrey
13641,Surrey,New Westminster,49.19064,-122.84939,Surrey
13642,Surrey,New Westminster,49.19064,-122.84939,Surrey
13643,Surrey,New Westminster,49.19064,-122.84939,Surrey
13644,Surrey,New Westminster,49.19064,-122.84939,Surrey
13645,Surrey,New Westminster,49.19064,-122.84939,Surrey
13646,Surrey,New Westminster,49.19064,-122.84939,Surrey
13647,Surrey,New Westminster,49.19064,-122.84939,Surrey
13648,Surrey,New Westminster,49.19064,-122.84939,Surrey
13719,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
13720,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
13721,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
13722,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
13723,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
13724,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
13725,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
13726,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
13727,Ottawa,Bells Corners,45.2430,-75.8002,Ottawa
