SwallowID,Original_City,Normalized_City
10897,Montréal,Montreal
,Montréal,Montreal
10898,Montréal,Montreal
,Montréal,Montreal
11102,Montréal,Montreal
,Montréal,Montreal
11105,Montréal,Montreal
,Montréal,Montreal
11106,Montréal,Montreal
,Montréal,Montreal
11107,Montréal,Montreal
,Montréal,Montreal
11108,Montréal,Montreal
,Montréal,Montreal
11109,Montréal,Montreal
,Montréal,Montreal
11113,Montréal,Montreal
,Montréal,Montreal
11114,Montréal,Montreal
,Montréal,Montreal
11119,Montréal,Montreal
,Montréal,Montreal
11131,Montréal,Montreal
,Montréal,Montreal
11258,Whistler Resort Municipality,Whistler
,Whistler Resort Municipality,Whistler
11524,Montréal,Montreal
,Montréal,Montreal
11694,Montréal,Montreal
,Montréal,Montreal
11695,Montréal,Montreal
,Montréal,Montreal
11696,Montréal,Montreal
,Montréal,Montreal
11697,Montréal,Montreal
,Montréal,Montreal
11698,Montréal,Montreal
,Montréal,Montreal
11699,Montréal,Montreal
,Montréal,Montreal
11701,Montréal,Montreal
,Montréal,Montreal
11703,Montréal,Montreal
,Montréal,Montreal
11704,Montréal,Montreal
,Montréal,Montreal
11705,Montréal,Montreal
,Montréal,Montreal
11706,Montréal,Montreal
,Montréal,Montreal
11707,Montréal,Montreal
,Montréal,Montreal
11708,Montréal,Montreal
,Montréal,Montreal
11766,Montréal,Montreal
,Montréal,Montreal
11767,Montréal,Montreal
,Montréal,Montreal
11768,Montréal,Montreal
,Montréal,Montreal
11769,Montréal,Montreal
,Montréal,Montreal
11770,Montréal,Montreal
,Montréal,Montreal
11771,Montréal,Montreal
,Montréal,Montreal
11772,Montréal,Montreal
,Montréal,Montreal
11780,Montréal,Montreal
,Montréal,Montreal
11781,Montréal,Montreal
,Montréal,Montreal
11782,Montréal,Montreal
,Montréal,Montreal
11785,City of Saint John,Saint John
,City of Saint John,Saint John
11833,Montréal,Montreal
,Montréal,Montreal
11870,Montréal,Montreal
,Montréal,Montreal
12048,Montréal,Montreal
,Montréal,Montreal
12049,Montréal,Montreal
,Montréal,Montreal
12432,North Vancouver,Vancouver
,North Vancouver,Vancouver
,North Vancouver,Vancouver
12433,North Vancouver,Vancouver
,North Vancouver,Vancouver
,North Vancouver,Vancouver
12434,North Vancouver,Vancouver
,North Vancouver,Vancouver
,North Vancouver,Vancouver
12435,North Vancouver,Vancouver
,North Vancouver,Vancouver
,North Vancouver,Vancouver
12436,North Vancouver,Vancouver
,North Vancouver,Vancouver
,North Vancouver,Vancouver
13040,City of Saint John,Saint John
,City of Saint John,Saint John
13041,City of Saint John,Saint John
,City of Saint John,Saint John
13042,City of Saint John,Saint John
,City of Saint John,Saint John
13043,City of Saint John,Saint John
,City of Saint John,Saint John
13044,City of Saint John,Saint John
,City of Saint John,Saint John
13175,Montréal,Montreal
,Montréal,Montreal
13584,Montréal,Montreal
,Montréal,Montreal
13585,Montréal,Montreal
,Montréal,Montreal
13586,Montréal,Montreal
,Montréal,Montreal
13587,Montréal,Montreal
,Montréal,Montreal
13588,Montréal,Montreal
,Montréal,Montreal
13589,Montréal,Montreal
,Montréal,Montreal
13590,Montréal,Montreal
,Montréal,Montreal
13591,Montréal,Montreal
,Montréal,Montreal
13592,Montréal,Montreal
,Montréal,Montreal
13593,Montréal,Montreal
,Montréal,Montreal
13594,Montréal,Montreal
,Montréal,Montreal
13595,Montréal,Montreal
,Montréal,Montreal
13596,Montréal,Montreal
,Montréal,Montreal
13597,Montréal,Montreal
,Montréal,Montreal
13598,Montréal,Montreal
,Montréal,Montreal
13599,Montréal,Montreal
,Montréal,Montreal
13600,Montréal,Montreal
,Montréal,Montreal
13601,Montréal,Montreal
,Montréal,Montreal
13602,Montréal,Montreal
,Montréal,Montreal
13603,Montréal,Montreal
,Montréal,Montreal
13604,Montréal,Montreal
,Montréal,Montreal
13605,Montréal,Montreal
,Montréal,Montreal
13606,Montréal,Montreal
,Montréal,Montreal
13607,Montréal,Montreal
,Montréal,Montreal
13608,Montréal,Montreal
,Montréal,Montreal
13609,Montréal,Montreal
,Montréal,Montreal
13610,Montréal,Montreal
,Montréal,Montreal
13611,Montréal,Montreal
,Montréal,Montreal
13612,Montréal,Montreal
,Montréal,Montreal
13613,Montréal,Montreal
,Montréal,Montreal
13614,Montréal,Montreal
,Montréal,Montreal
13615,Montréal,Montreal
,Montréal,Montreal
,North Vancouver,Vancouver
,North Vancouver,Vancouver
,North Vancouver,Vancouver
,North Vancouver,Vancouver
13927,Montréal,Montreal
,Montréal,Montreal
13991,Montréal,Montreal
,Montréal,Montreal
