city,homelat,homelon,homecontinent,state,n
Montreal,45.49253,-73.58068,Canada,Quebec,20
Ottawa,45.4211060,-75.6903080,Canada,Ontario,10
Toronto,43.666170,-79.400360,Canada,Ontario,5
